"intent","lang","training phrase"
"Default Fallback Intent","en","calculate number of days before graduation"
"Default Fallback Intent","en","could you set alarm at today's date"
"Default Fallback Intent","en","number of days since last incident"
"Default Fallback Intent","en","I am not wonder it is Saint Patrick's day"
"Default Fallback Intent","en","check flights into Luxembourg"
"Default Fallback Intent","en","don't check if it's Monday in Luxembourg"
"Default Fallback Intent","en","don't tell me the number of weeks between today and January 1st"
"Default Fallback Intent","en","tell me the number of airports in New York"
"Default Fallback Intent","en","tell me the number of weeks in a year"
"Default Welcome Intent","en","just going to say hi"
"Default Welcome Intent","en","heya"
"Default Welcome Intent","en","hello hi"
"Default Welcome Intent","en","howdy"
"Default Welcome Intent","en","hey there"
"Default Welcome Intent","en","hi there"
"Default Welcome Intent","en","greetings"
"Default Welcome Intent","en","hey"
"Default Welcome Intent","en","long time no see"
"Default Welcome Intent","en","hello"
"Default Welcome Intent","en","lovely day isn't it"
"Default Welcome Intent","en","I greet you"
"Default Welcome Intent","en","hello again"
"Default Welcome Intent","en","hi"
"Default Welcome Intent","en","hello there"
"Default Welcome Intent","en","a good day"
"academics.companycg","en","How much CGPA do I need to get placed in good companies?"
"academics.companycg","en","What is the minimum CGPA required for internship at Microsoft?"
"academics.companycg","en","How much CG is required to sit in interviews for placement?"
"academics.companycg","en","what is the minimum CGPA required to sit in the tech companies in internship days?"
"academics.exams","en","How many tests happen in a semester?"
"academics.exams","en","How many exams are there in one course?"
"academics.exams","en","How often do we have tests/exams?"
"academics.exams","en","Do we have regular tests or only mid-end sem exams?"
"academics.professors","en","Do professors give lot of work to do?"
"academics.professors","en","Are the professors very strict or lenient?"
"academics.professors","en","How strict are the professors there?"
"academics.professors","en","How is the attitude of professors towards the students?"
"academics.semexchange","en","How to get TUM?"
"academics.semexchange","en","Has anyone from IIT Mandi went to summer intern at top ivy league universities apart from mou signed institute s like TUM,TU9 univ,in general how is the research summer internship culture in IIT Mandi (although I understand due to covid a lot of these opportunities are demolished consider the question to be in a post covid era)"
"academics.semexchange","en","I read abt the sem exchange program with IIT Madras , can somebody provide me with more info"
"academics.semexchange","en","Does IIT Mandi has foreign contacts. If so , then do we get opportunity to visit it and how?"
"academics.semexchange","en","What are the chances of FOREIGN EXCHANGE at IIT Mandi for a CSE student?"
"academics.semexchange","en","is there a sem exchange program at IIT Mandi?"
"academics.semexchange","en","is there a semester exchange program in iit mandi"
"academics.semexchange","en","What is the foreign exchange programme criteria at IIT Mandi?"
"academics.semexchange","en","how much CGPA required for semester exchange?"
"academics.semexchange","en","what is semester exchange?"
"academics.semexchange","en","tell me about semester exchange?"
"academics.stationery","en","Can I buy books in campus or should I bring them from home?"
"academics.stationery","en","Should I buy the books for courses now?"
"academics.stationery","en","Which books do I need to buy for first year?"
"academics.stationery","en","Do we have to buy books?"
"academics.studying","en","How long do I need to study for good marks?"
"academics.studying","en","How much do I need to study to get a good CGPA?"
"academics.studying","en","How much time do students spend studying per week?"
"academics.workingdays","en","Are weekends holidays?"
"academics.workingdays","en","Do we have extra classes on Sunday?"
"academics.workingdays","en","Are there classes on Saturday?"
"academics.workingdays","en","Do we have classes on weekends?"
"branchchange.criteria","en","How to get a branch change at IIT Mandi?"
"branchchange.criteria","en","What minimum marks do I need to score to get a branch change?"
"branchchange.criteria","en","What is the minimum CGPA required for branch change?"
"branchchange.criteria","en","How much marks do I need for getting my branch changed?"
"branchchange.criteria","en","What is the cg required for branch change?"
"branchchange.criteria","en","What is criteria for branch change at iit mandi?"
"branchchange.prospects","en","What is branch change policy at IIT Mandi?"
"branchchange.prospects","en","Can I change my branch from Mechanical to CSE?"
"branchchange.prospects","en","How easy is branch change at IIT Mandi as compared to other IITs?"
"branchchange.prospects","en","What the chances of getting my branch changed from electrical to CSE at IIT Mandi?"
"branchchange.prospects","en","What are the prospects of branch change at IIT Mandi?"
"campus.mess","en","How many messes are"
"campus.mess","en","Is the mess food good in the college?"
"campus.mess","en","How is the mess food in IIT Mandi?"
"campus.transportation","en","bus facilities in campus"
"campus.transportation","en","travel from north to south campus?"
"campus.transportation","en","How to travel from south campus to Mandi?"
"campus.transportation","en","How to go from north campus to Mandi?"
"campus.transportation","en","How to travel from south campus to north campus?"
"campus.transportation","en","How do buses run from campus to Mandi?"
"campus.transportation","en","What are transportation facilities in college?"
"campus.transportation","en","how to travel inside campus given it is a huge campus?"
"date.between","en","how many days are between November 13 and July 22"
"date.between","en","calculate the number of minutes between today and Wednesday"
"date.between","en","compute the number of seconds between today and March 7 2017"
"date.between","en","tell me the number of weeks between today and January 1st"
"date.between","en","I need to know the number of days between today and the next Friday"
"date.between","en","count the number of hours between June 5 and June 14"
"date.between","en","number of seconds between today and April 1st"
"date.between","en","evaluate how many days are between today and February 14 2018"
"date.check - context_date-check","en","can you check Glasgow too"
"date.check - context_date-check","en","in Moscow too"
"date.check - context_date-check","en","Tokyo"
"date.check - context_date-check","en","can you check it for Toronto"
"date.check - context_date-check","en","could you check Paris now"
"date.check - context_date-check","en","now New York"
"date.check - context_date-check","en","what about Munich"
"date.check - context_date-check","en","in Vienna now"
"date.check - context_date-check","en","and in London"
"date.check - context_date-check","en","how about Hong Kong"
"date.check - context_date-check","en","check Prague"
"date.check - context_date-check","en","check Madrid as well"
"date.check","en","is it the 21st of February"
"date.check","en","check if it's Monday in Luxembourg"
"date.check","en","is it June 19th"
"date.check","en","is today 28th"
"date.check","en","tell me is it September 8 in Munich"
"date.day_of_week.check","en","is today a Thursday"
"date.day_of_week.check","en","tell me if today is Monday in Paris"
"date.day_of_week.check","en","is it Monday"
"date.day_of_week.check","en","is it Friday tomorrow in Moscow"
"date.day_of_week.check","en","is it Friday tomorrow"
"date.day_of_week.check","en","is March 24 Friday"
"date.day_of_week.check","en","check if 13th of November is Wednesday"
"date.day_of_week.check","en","tomorrow is Friday isn't it"
"date.day_of_week.check","en","is 24 of July Wednesday"
"date.day_of_week","en","day of the week in New York"
"date.day_of_week","en","what day of the week is it today in London"
"date.day_of_week","en","what day of the week is today"
"date.day_of_week","en","what day of week is it in Paris"
"date.day_of_week","en","day of the week today"
"date.day_of_week","en","today's day of the week"
"date.get - context_date-get","en","what about Monday"
"date.get - context_date-get","en","next Friday"
"date.get - context_date-get","en","could you check it for tomorrow"
"date.get - context_date-get","en","and Tuesday"
"date.get - context_date-get","en","now Wednesday"
"date.get - context_date-get","en","how about Thursday"
"date.get","en","can you tell me the date"
"date.get","en","current date"
"date.get","en","what is the date"
"date.get","en","what day is it"
"date.get","en","what day was yesterday"
"date.get","en","the date"
"date.get","en","tomorrow's date"
"date.get","en","what is the day after tomorrow"
"date.get","en","what is the current date"
"date.get","en","date now"
"date.get","en","what date is today"
"date.get","en","do you know what day is it"
"date.get","en","what date is it on Thursday"
"date.get","en","what date is the next Friday"
"date.get","en","what date is tomorrow"
"date.get","en","what will be the date 30 days from now"
"date.get","en","tell me the date 19 weeks from today"
"date.get","en","do you know what day it is"
"date.get","en","date today"
"date.get","en","show me the date"
"date.get","en","today's date"
"date.holiday.between","en","count the days between Columbus Day and Christmas"
"date.holiday.between","en","how many weeks between Independence Day and Easter"
"date.holiday.between","en","how many days are there between Christmas and New Year"
"date.holiday.between","en","number of hours between Columbus Day and Veterans Day"
"date.holiday.between","en","check how many weeks are there between Halloween and New Year"
"date.holiday.between","en","tell me how many months are between Independence Day and Valentine's Day"
"date.holiday.between","en","calculate the number of seconds between Thanksgiving and Halloween"
"date.holiday.check","en","is it Christmas today"
"date.holiday.check","en","could you tell me if Christmas is on December 25"
"date.holiday.check","en","tell me if December 24 is Christmas"
"date.holiday.check","en","check if Halloween is on November 30 this year"
"date.holiday.check","en","is New Year celebrated on the 1st of January"
"date.holiday.check","en","is Columbus Day tomorrow"
"date.holiday.check","en","is Thanksgiving on November 24"
"date.holiday.check","en","Mother's day is on March 10 right"
"date.holiday.since","en","how many days passed after New Year"
"date.holiday.since","en","what's the number of days since Thanksgiving"
"date.holiday.since","en","number of days since Christmas"
"date.holiday.since","en","tell me how many months after St Patrick's Day"
"date.holiday.since","en","do you know how many months passed after Easter"
"date.holiday.until","en","how many hours do we have until New Year"
"date.holiday.until","en","tell me how many seconds until Halloween"
"date.holiday.until","en","count days until Thanksgiving"
"date.holiday.until","en","how long until Thanksgiving"
"date.holiday.until","en","count the number of weeks until Valentine's Day"
"date.holiday.until","en","check how many days left until Columbus Day"
"date.holiday.until","en","check how many months is it until next Independence Day"
"date.holiday.until","en","how many months until Easter"
